eBird English Name 2023,eBird English Name 2022,eBird Scientific Name 2022,SoIB 2023 Priority Status,SoIB 2023 Long-term Trend Status,SoIB 2023 Current Annual Trend Status,SoIB 2023 Distribution Range Size Status,Order,Family,Diet Guild,Endemicity,Endemic to India,Endemic to Subcontinent,Endemic to Himalaya,Habitat Specialization,Migratory Status within India,Restricted to Islands,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,One Percent Population Threshold
White-capped Redstart,White-capped Redstart,Phoenicurus leucocephalus,Moderate,Trend Inconclusive,Decline,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident & Within-India Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Blue-capped Redstart,Blue-capped Redstart,Phoenicurus coeruleocephala,Moderate,Decline,Stable,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Common Redstart,Common Redstart,Phoenicurus phoenicurus,,,,,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Hodgson's Redstart,Hodgson's Redstart,Phoenicurus hodgsoni,Moderate,Insufficient Data,Insufficient Data,Restricted,Passeriformes,Muscicapidae (Old World Flycatchers),Omnivore,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
White-throated Redstart,White-throated Redstart,Phoenicurus schisticeps,,,,,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
White-winged Redstart,White-winged Redstart,Phoenicurus erythrogastrus,,,,,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Black Redstart,Black Redstart,Phoenicurus ochruros,Moderate,Decline,Trend Inconclusive,Very Large,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Daurian Redstart,Daurian Redstart,Phoenicurus auroreus,,,,,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Chestnut-bellied Rock-Thrush,Chestnut-bellied Rock-Thrush,Monticola rufiventris,Moderate,Trend Inconclusive,Rapid Decline,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Blue-capped Rock-Thrush,Blue-capped Rock-Thrush,Monticola cinclorhyncha,High,Decline,Rapid Decline,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Within-India Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Rufous-tailed Rock-Thrush,Rufous-tailed Rock-Thrush,Monticola saxatilis,,,,,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Passage Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Blue Rock-Thrush,Blue Rock-Thrush,Monticola solitarius,High,Rapid Decline,Rapid Decline,Large,Passeriformes,Muscicapidae (Old World Flycatchers),Omnivore,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Whinchat,Whinchat,Saxicola rubetra,,,,,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Uncertain,FALSE,Least Concern,Recent addition,,Appendix II,
