eBird English Name 2023,eBird English Name 2022,eBird Scientific Name 2022,SoIB 2023 Priority Status,SoIB 2023 Long-term Trend Status,SoIB 2023 Current Annual Trend Status,SoIB 2023 Distribution Range Size Status,Order,Family,Diet Guild,Endemicity,Endemic to India,Endemic to Subcontinent,Endemic to Himalaya,Habitat Specialization,Migratory Status within India,Restricted to Islands,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,One Percent Population Threshold
Fulvous Whistling-Duck,Fulvous Whistling-Duck,Dendrocygna bicolor,Low,Insufficient Data,Trend Inconclusive,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-I,,Appendix II,500
Lesser Whistling-Duck,Lesser Whistling-Duck,Dendrocygna javanica,Low,Stable,Stable,Very Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,Appendix II,10000
Bar-headed Goose,Bar-headed Goose,Anser indicus,Moderate,Trend Inconclusive,Decline,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Graylag Goose,Graylag Goose,Anser anser,Low,Trend Inconclusive,Trend Inconclusive,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,250
Greater White-fronted Goose,Greater White-fronted Goose,Anser albifrons,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Lesser White-fronted Goose,Lesser White-fronted Goose,Anser erythropus,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Vulnerable,Schedule-II,,Appendix I,
Taiga Bean-Goose,Taiga Bean-Goose,Anser fabalis,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Tundra Bean-Goose,Tundra Bean-Goose,Anser serrirostris,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Red-breasted Goose,Red-breasted Goose,Branta ruficollis,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Vulnerable,Schedule-II,Appendix II,Appendix I,
Mute Swan,Mute Swan,Cygnus olor,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Tundra Swan,Tundra Swan,Cygnus columbianus,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Whooper Swan,Whooper Swan,Cygnus cygnus,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Knob-billed Duck,Knob-billed Duck,Sarkidiornis melanotos,Low,Trend Inconclusive,Trend Inconclusive,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,250
Ruddy Shelduck,Ruddy Shelduck,Tadorna ferruginea,High,Decline,Rapid Decline,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,500
Common Shelduck,Common Shelduck,Tadorna tadorna,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1000
Cotton Pygmy-Goose,Cotton Pygmy-Goose,Nettapus coromandelianus,Moderate,Rapid Decline,Decline,Very Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-I,,Appendix II,1000
Mandarin Duck,Mandarin Duck,Aix galericulata,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Baikal Teal,Baikal Teal,Sibirionetta formosa,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,Appendix II,Appendix I,
Garganey,Garganey,Spatula querquedula,High,Rapid Decline,Rapid Decline,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Northern Shoveler,Northern Shoveler,Spatula clypeata,High,Rapid Decline,Rapid Decline,Very Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Gadwall,Gadwall,Mareca strepera,Moderate,Trend Inconclusive,Decline,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,3000
Falcated Duck,Falcated Duck,Mareca falcata,Moderate,Insufficient Data,Insufficient Data,Restricted,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Near Threatened,Schedule-II,,Appendix II,
Eurasian Wigeon,Eurasian Wigeon,Mareca penelope,Moderate,Decline,Decline,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,2500
Indian Spot-billed Duck,Indian Spot-billed Duck,Anas poecilorhyncha,Low,Trend Inconclusive,Stable,Very Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,Appendix II,1000
Eastern Spot-billed Duck,Eastern Spot-billed Duck,Anas zonorhyncha,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Mallard,Mallard,Anas platyrhynchos,Low,Trend Inconclusive,Trend Inconclusive,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Northern Pintail,Northern Pintail,Anas acuta,High,Rapid Decline,Rapid Decline,Very Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,20000
Green-winged Teal,Green-winged Teal,Anas crecca,High,Rapid Decline,Rapid Decline,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Andaman Teal,Andaman Teal,Anas albogularis,High,Insufficient Data,Trend Inconclusive,Restricted,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Andaman Islands,FALSE,FALSE,FALSE,Wetland,Resident,TRUE,Vulnerable,Schedule-I,,Appendix II,7
Marbled Duck,Marbled Teal,Marmaronetta angustirostris,High,Insufficient Data,Insufficient Data,Very Restricted,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Near Threatened,Schedule-I,,Appendix I,50
Pink-headed Duck,Pink-headed Duck,Rhodonessa caryophyllacea,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Critically Endangered,Schedule-I,Appendix I,Appendix II,1
White-winged Duck,White-winged Duck,Asarcornis scutulata,High,Insufficient Data,Insufficient Data,Very Restricted,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Endangered,Schedule-I,Appendix I,Appendix II,5
Red-crested Pochard,Red-crested Pochard,Netta rufina,Low,Decline,Stable,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1000
Common Pochard,Common Pochard,Aythya ferina,High,Rapid Decline,Decline,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Vulnerable,Schedule-I,,Appendix II,
Ferruginous Duck,Ferruginous Duck,Aythya nyroca,Moderate,Trend Inconclusive,Trend Inconclusive,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Near Threatened,Schedule-II,,Appendix I,1000
Baer's Pochard,Baer's Pochard,Aythya baeri,High,Insufficient Data,Insufficient Data,Very Restricted,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Critically Endangered,Schedule-I,,Appendix I,
Tufted Duck,Tufted Duck,Aythya fuligula,High,Rapid Decline,Decline,Large,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,3900
Greater Scaup,Greater Scaup,Aythya marila,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Long-tailed Duck,Long-tailed Duck,Clangula hyemalis,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Vulnerable,Schedule-II,,Appendix II,
Common Goldeneye,Common Goldeneye,Bucephala clangula,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Smew,Smew,Mergellus albellus,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Common Merganser,Common Merganser,Mergus merganser,High,Rapid Decline,Rapid Decline,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,50
Red-breasted Merganser,Red-breasted Merganser,Mergus serrator,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
White-headed Duck,White-headed Duck,Oxyura leucocephala,,,,,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Endangered,Schedule-I,Appendix II,Appendix I,
Nicobar Megapode,Nicobar Megapode,Megapodius nicobariensis,High,Insufficient Data,Insufficient Data,Restricted,Galliformes,Megapodiidae (Megapodes),Invertebrate,Nicobar Islands,TRUE,TRUE,FALSE,Forest,Resident,TRUE,Vulnerable,Schedule-I,,,
Hill Partridge,Hill Partridge,Arborophila torqueola,Low,Stable,Trend Inconclusive,Moderate,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Himalayas,FALSE,FALSE,TRUE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,
Chestnut-breasted Partridge,Chestnut-breasted Partridge,Arborophila mandellii,Moderate,Insufficient Data,Insufficient Data,Restricted,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Eastern Himalayas,FALSE,TRUE,TRUE,Forest,Resident,FALSE,Near Threatened,Schedule-I,,,
Rufous-throated Partridge,Rufous-throated Partridge,Arborophila rufogularis,Low,Insufficient Data,Insufficient Data,Moderate,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,
White-cheeked Partridge,White-cheeked Partridge,Arborophila atrogularis,Moderate,Insufficient Data,Insufficient Data,Restricted,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Eastern Himalayas,FALSE,FALSE,TRUE,Forest,Resident,FALSE,Near Threatened,Schedule-II,,,
Snow Partridge,Snow Partridge,Lerwa lerwa,,,,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,
Blood Pheasant,Blood Pheasant,Ithaginis cruentus,High,Insufficient Data,Insufficient Data,Very Restricted,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-I,Appendix II,,
Western Tragopan,Western Tragopan,Tragopan melanocephalus,High,Insufficient Data,Insufficient Data,Very Restricted,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Western Himalayas,FALSE,TRUE,TRUE,Forest,Resident & Altitudinal Migrant,FALSE,Vulnerable,Schedule-I,Appendix I,,
Satyr Tragopan,Satyr Tragopan,Tragopan satyra,Moderate,Trend Inconclusive,Trend Inconclusive,Restricted,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Indian Subcontinent,FALSE,TRUE,TRUE,Forest,Resident & Altitudinal Migrant,FALSE,Near Threatened,Schedule-I,,,
Blyth's Tragopan,Blyth's Tragopan,Tragopan blythii,High,Insufficient Data,Insufficient Data,Very Restricted,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Eastern Himalayas,FALSE,FALSE,TRUE,Forest,Resident & Altitudinal Migrant,FALSE,Vulnerable,Schedule-I,Appendix I,,
Temminck's Tragopan,Temminck's Tragopan,Tragopan temminckii,High,Insufficient Data,Insufficient Data,Very Restricted,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,,,
Himalayan Monal,Himalayan Monal,Lophophorus impejanus,Low,Insufficient Data,Trend Inconclusive,Moderate,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Himalayas,FALSE,FALSE,TRUE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-I,Appendix I,,
Sclater's Monal,Sclater's Monal,Lophophorus sclateri,High,Insufficient Data,Insufficient Data,Very Restricted,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Eastern Himalayas,FALSE,FALSE,TRUE,Alpine & Cold Desert,Resident & Altitudinal Migrant,FALSE,Vulnerable,Schedule-I,Appendix I,,
Koklass Pheasant,Koklass Pheasant,Pucrasia macrolopha,Low,Insufficient Data,Insufficient Data,Moderate,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,
Tibetan Partridge,Tibetan Partridge,Perdix hodgsoniae,,,,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Resident,FALSE,Least Concern,Schedule-I,,,
Mrs. Hume's Pheasant,Hume's Pheasant,Syrmaticus humiae,,,,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Near Threatened,Schedule-I,Appendix I,,
Cheer Pheasant,Cheer Pheasant,Catreus wallichii,High,Insufficient Data,Insufficient Data,Restricted,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Western Himalayas,FALSE,TRUE,TRUE,Forest,Resident,FALSE,Vulnerable,Schedule-I,Appendix I,,
Kalij Pheasant,Kalij Pheasant,Lophura leucomelanos,Low,Trend Inconclusive,Trend Inconclusive,Moderate,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,,,
Indian Peafowl,Indian Peafowl,Pavo cristatus,Low,Rapid Increase,Rapid Increase,Very Large,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Indian Subcontinent,FALSE,TRUE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-I,,,
Green Peafowl,Green Peafowl,Pavo muticus,,,,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Uncertain,FALSE,Endangered,Schedule-I,Appendix II,,
Red Spurfowl,Red Spurfowl,Galloperdix spadicea,Low,Trend Inconclusive,Stable,Large,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Mainland India,TRUE,TRUE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,
Painted Spurfowl,Painted Spurfowl,Galloperdix lunulata,Low,Stable,Trend Inconclusive,Moderate,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Mainland India,TRUE,TRUE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,
Gray Peacock-Pheasant,Gray Peacock-Pheasant,Polyplectron bicalcaratum,Moderate,Insufficient Data,Insufficient Data,Restricted,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,Appendix II,,
Mountain Bamboo-Partridge,Mountain Bamboo-Partridge,Bambusicola fytchii,,,,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,,,
Red Junglefowl,Red Junglefowl,Gallus gallus,Low,Trend Inconclusive,Stable,Large,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,
Gray Junglefowl,Gray Junglefowl,Gallus sonneratii,Low,Trend Inconclusive,Trend Inconclusive,Large,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Mainland India,TRUE,TRUE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,Appendix II,,
Gray Francolin,Gray Francolin,Ortygornis pondicerianus,Low,Trend Inconclusive,Increase,Very Large,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident,FALSE,Least Concern,Schedule-II,,,
Swamp Francolin,Swamp Francolin,Ortygornis gularis,High,Insufficient Data,Insufficient Data,Restricted,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Indian Subcontinent,FALSE,TRUE,FALSE,Wetland,Resident,FALSE,Vulnerable,Schedule-I,,,
Chinese Francolin,Chinese Francolin,Francolinus pintadeanus,,,,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,
Black Francolin,Black Francolin,Francolinus francolinus,Low,Trend Inconclusive,Trend Inconclusive,Large,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident,FALSE,Least Concern,Schedule-II,,,
Painted Francolin,Painted Francolin,Francolinus pictus,Low,Insufficient Data,Trend Inconclusive,Large,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Omnivore,Indian Subcontinent,FALSE,TRUE,FALSE,Open Habitat,Resident,FALSE,Least Concern,Schedule-II,,,
Tibetan Snowcock,Tibetan Snowcock,Tetraogallus tibetanus,,,,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Resident,FALSE,Least Concern,Schedule-I,Appendix I,,
Himalayan Snowcock,Himalayan Snowcock,Tetraogallus himalayensis,Moderate,Insufficient Data,Insufficient Data,Moderate,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Himalayas,FALSE,FALSE,TRUE,Alpine & Cold Desert,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,
Blue-breasted Quail,Blue-breasted Quail,Synoicus chinensis,,,,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Least Concern,Schedule-II,,,
Common Quail,Common Quail,Coturnix coturnix,,,,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Japanese Quail,Japanese Quail,Coturnix japonica,,,,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Uncertain,FALSE,Near Threatened,Schedule-II,,,
Rain Quail,Rain Quail,Coturnix coromandelica,Moderate,Rapid Decline,Trend Inconclusive,Large,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Uncertain,FALSE,Least Concern,Schedule-II,,,
Chukar,Chukar,Alectoris chukar,Low,Rapid Increase,Trend Inconclusive,Moderate,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,
Jungle Bush-Quail,Jungle Bush-Quail,Perdicula asiatica,Low,Decline,Stable,Large,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Indian Subcontinent,FALSE,TRUE,FALSE,Grassland & Scrub,Resident,FALSE,Least Concern,Schedule-II,,,
Rock Bush-Quail,Rock Bush-Quail,Perdicula argoondah,Moderate,Insufficient Data,Insufficient Data,Large,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Mainland India,TRUE,TRUE,FALSE,Grassland & Scrub,Resident,FALSE,Least Concern,Schedule-II,,,
Painted Bush-Quail,Painted Bush-Quail,Perdicula erythrorhyncha,Moderate,Insufficient Data,Insufficient Data,Restricted,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Mainland India,TRUE,TRUE,FALSE,Grassland & Scrub,Resident,FALSE,Least Concern,Schedule-II,,,
Manipur Bush-Quail,Manipur Bush-Quail,Perdicula manipurensis,High,Insufficient Data,Insufficient Data,Historical,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Assam Plains,TRUE,TRUE,FALSE,Grassland,Uncertain,FALSE,Endangered,Schedule-I,,,
Himalayan Quail,Himalayan Quail,Ophrysia superciliosa,High,Insufficient Data,Insufficient Data,Historical,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Plant & Seed,Western Himalayas,TRUE,TRUE,TRUE,Grassland,Uncertain,FALSE,Critically Endangered,Schedule-I,,,
Greater Flamingo,Greater Flamingo,Phoenicopterus roseus,High,Rapid Decline,Rapid Decline,Large,Phoenicopteriformes,Phoenicopteridae (Flamingos),Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Within-India Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Lesser Flamingo,Lesser Flamingo,Phoeniconaias minor,Moderate,Insufficient Data,Decline,Moderate,Phoenicopteriformes,Phoenicopteridae (Flamingos),Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Within-India Migrant,FALSE,Near Threatened,Schedule-II,,Appendix II,3900
Little Grebe,Little Grebe,Tachybaptus ruficollis,Low,Trend Inconclusive,Trend Inconclusive,Very Large,Podicipediformes,Podicipedidae (Grebes),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,,10000
Horned Grebe,Horned Grebe,Podiceps auritus,,,,,Podicipediformes,Podicipedidae (Grebes),Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Vulnerable,Schedule-II,,Appendix II,
Red-necked Grebe,Red-necked Grebe,Podiceps grisegena,,,,,Podicipediformes,Podicipedidae (Grebes),Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Least Concern,Schedule-II,,Appendix II,
Great Crested Grebe,Great Crested Grebe,Podiceps cristatus,High,Rapid Decline,Decline,Moderate,Podicipediformes,Podicipedidae (Grebes),Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident & Winter Migrant,FALSE,Least Concern,Schedule-II,,,250
Eared Grebe,Eared Grebe,Podiceps nigricollis,,,,,Podicipediformes,Podicipedidae (Grebes),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,,
Rock Pigeon,Rock Pigeon,Columba livia,Low,Rapid Increase,Increase,Very Large,Columbiformes,Columbidae (Pigeons and Doves),Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Not protected,,,
